Date, Time, Event
07-May-26,15:02:57,NBIT: Sleep Duration: 0 
07-May-26,15:02:57,NBIT: Rx Time(s): 184 
07-May-26,15:02:57,NBIT: Tx Time(s): 27 
07-May-26,15:02:57,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 1 
07-May-26,15:02:57,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,15:02:57,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,15:02:58,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 1 
07-May-26,15:02:58,LWM2M: Observe: 9  : 0  : 9  Status: 0  Index: 0 
07-May-26,15:02:58,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:02:58,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 0 
07-May-26,15:03:03,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:03:08,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:03:13,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,15:03:13,LWM2M: Observe: 9  : 0  : 7  Status: 0  Index: 0 
07-May-26,15:03:13,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,15:03:13,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,15:03:14,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,15:03:18,NBIT: Cereg: 2 
07-May-26,15:03:21,NBIT: Cereg: 1 
07-May-26,15:03:25,NBIT: Cereg: 1 
07-May-26,15:03:26,NBIT: SINR: 0  RSSI: 18 
07-May-26,15:03:46,NBIT: Transmission: 1410 
07-May-26,15:03:46,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
07-May-26,15:03:47,NBIT: Earfcn: 3701 
07-May-26,15:03:47,NBIT: Pci: 140  EarfcnOffset: 2 
07-May-26,15:03:47,NBIT: Cell ID: 0338AB79 
07-May-26,15:03:47,NBIT: RSRQ: -12  RSRP: -88 
07-May-26,15:03:47,NBIT: SINR: 3  RSSI: -76 
07-May-26,15:03:47,NBIT: TAC: 29901  Band: 8 
07-May-26,15:03:47,NBIT: Opr Mode: 3  Tx Power: 230  ECL: 0 
07-May-26,15:03:47,NBIT: Sleep Duration: 0 
07-May-26,15:03:47,NBIT: Rx Time(s): 177 
07-May-26,15:03:47,NBIT: Tx Time(s): 29 
07-May-26,15:03:47,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,15:03:47,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,15:03:47,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,15:03:47,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 1 
07-May-26,15:03:47,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,15:03:48,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:03:48,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 0 
07-May-26,15:03:53,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:03:58,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:04:03,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,15:04:03,LWM2M: Observe: 9  : 0  : 7  Status: 0  Index: 0 
07-May-26,15:04:03,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,15:04:03,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,15:04:04,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
