 Timestamp, Code
 06/07/26 02:21:22 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 2  
 06/07/26 02:21:33 , NBIT: Earfcn: 1391  
 06/07/26 02:21:33 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 02:21:33 , NBIT: Cell ID: 0966C149  
 06/07/26 02:21:33 , NBIT: RSRQ: 65528  RSRP: 65445  
 06/07/26 02:21:33 , NBIT: SINR: 7  RSSI: 65454  
 06/07/26 02:21:33 , NBIT: TAC: 6182  Band: 3  
 06/07/26 02:21:33 , NBIT: Opr Mode: 2  Tx Power: 120  ECL: 0  
 06/07/26 02:21:33 , NBIT: Sleep Duration: 574915  
 06/07/26 02:21:33 , NBIT: Rx Time(s): 744  
 06/07/26 02:21:33 , NBIT: Tx Time(s): 21  
 06/07/26 02:21:40 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 1  
 06/07/26 02:21:40 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 1  
 06/07/26 03:00:00 , LWM2M: Reading Next Run Time: 06/07/26 04:00:00  
 06/07/26 03:46:40 , LWM2M: Status Next Run Time: 06/07/26 04:00:00  
 06/07/26 04:00:00 , LWM2M: Reading Next Run Time: 06/07/26 05:00:00  
 06/07/26 04:00:00 , LWM2M: Status Next Run Time: 06/07/26 04:00:00  
 06/07/26 05:00:00 , LWM2M: Reading Next Run Time: 06/07/26 06:00:00  
 06/07/26 06:00:00 , LWM2M: Reading Next Run Time: 06/07/26 07:00:00  
 06/07/26 06:46:40 , LWM2M: Status Next Run Time: 06/07/26 07:00:00  
 06/07/26 07:00:00 , LWM2M: Reading Next Run Time: 06/07/26 08:00:00  
 06/07/26 07:00:00 , LWM2M: Status Next Run Time: 06/07/26 07:00:00  
 06/07/26 08:00:00 , LWM2M: Reading Next Run Time: 06/07/26 09:00:00  
 06/07/26 09:00:00 , LWM2M: Reading Next Run Time: 06/07/26 10:00:00  
 06/07/26 09:37:49 , SNSR: Temp(C): 30  Volt(mV): 3007  
 06/07/26 09:37:49 , SNSR: Average Current (uA): 1046.8749  
 06/07/26 09:46:40 , LWM2M: Status Next Run Time: 06/07/26 10:00:00  
 06/07/26 10:00:00 , LWM2M: Reading Next Run Time: 06/07/26 11:00:00  
 06/07/26 10:00:00 , LWM2M: Status Next Run Time: 06/07/26 10:00:00  
 06/07/26 11:00:00 , LWM2M: Reading Next Run Time: 06/07/26 12:00:00  
 06/07/26 12:00:00 , LWM2M: Reading Next Run Time: 06/07/26 01:00:00  
 06/07/26 12:37:49 , FLSV: LWM2M Readings Not Dispatched: 0  
 06/07/26 12:37:50 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Error: 5  
 06/07/26 12:37:50 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:37:54 , NBIT: Cereg: 2  
 06/07/26 12:37:57 , NBIT: Cereg: 1  
 06/07/26 12:37:59 , NBIT: Cereg: 1  
 06/07/26 12:38:02 , NBIT: SINR: 0  RSSI: 20  
 06/07/26 12:38:08 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 1  
 06/07/26 12:38:13 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:38:23 , LWM2M: Request: 10376   : 0   : 6  Type: 10  Status: 0  
 06/07/26 12:38:24 , NBIT: Earfcn: 1391  
 06/07/26 12:38:24 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 12:38:24 , NBIT: Cell ID: 0966C149  
